batavg,batsr,bowlavg,bowleco,bowlsr,ball_no,innings,runs
43.63,126.64,25.64,8.17,18.8,5.4,2,4
43.63,126.64,25.64,8.17,18.8,5.5,2,0
43.63,126.64,25.64,8.17,18.8,5.6,2,1
43.63,126.64,51,9.18,33.3,6.1,2,1
45,153.4,51,9.18,33.3,6.2,2,0
45,153.4,51,9.18,33.3,6.3,2,1
43.63,126.64,51,9.18,33.3,6.4,2,1
45,153.4,51,9.18,33.3,6.5,2,0
45,153.4,51,9.18,33.3,6.6,2,1
45,153.4,39.33,7.57,31.1,7.1,2,2
45,153.4,39.33,7.57,31.1,7.2,2,0
45,153.4,39.33,7.57,31.1,7.3,2,4
45,153.4,39.33,7.57,31.1,7.4,2,2
45,153.4,39.33,7.57,31.1,7.5,2,1
43.63,126.64,39.33,7.57,31.1,7.6,2,1
43.63,126.64,51,9.18,33.3,8.1,2,2
43.63,126.64,51,9.18,33.3,8.2,2,4
43.63,126.64,51,9.18,33.3,8.3,2,1
45,153.4,51,9.18,33.3,8.4,2,0
45,153.4,51,9.18,33.3,8.5,2,1
43.63,126.64,51,9.18,33.3,8.6,2,1
43.63,126.64,39.33,7.57,31.1,9.1,2,0
43.63,126.64,39.33,7.57,31.1,9.2,2,6
43.63,126.64,39.33,7.57,31.1,9.3,2,1
45,153.4,39.33,7.57,31.1,9.4,2,2
45,153.4,39.33,7.57,31.1,9.5,2,1
43.63,126.64,39.33,7.57,31.1,9.6,2,1
43.63,126.64,36.55,7.65,28.6,10.1,2,7
45,153.4,36.55,7.65,28.6,10.2,2,0
45,153.4,36.55,7.65,28.6,10.3,2,1
24.81,135.75,36.55,7.65,28.6,10.4,2,0
24.81,135.75,36.55,7.65,28.6,10.5,2,2
24.81,135.75,36.55,7.65,28.6,10.6,2,1
24.81,135.75,27.06,7.8,20.8,11.1,2,0
24.81,135.75,27.06,7.8,20.8,11.2,2,1
45,153.4,27.06,7.8,20.8,11.3,2,1
24.81,135.75,27.06,7.8,20.8,11.4,2,4
24.81,135.75,27.06,7.8,20.8,11.5,2,1
45,153.4,27.06,7.8,20.8,11.6,2,1
45,153.4,25.64,8.17,18.8,12.1,2,0
45,153.4,25.64,8.17,18.8,12.2,2,0
45,153.4,25.64,8.17,18.8,12.3,2,4
45,153.4,25.64,8.17,18.8,12.4,2,0
45,153.4,25.64,8.17,18.8,12.5,2,4
45,153.4,25.64,8.17,18.8,12.6,2,1
45,153.4,0,13.5,0,13.1,2,4
45,153.4,0,13.5,0,13.2,2,1
24.81,135.75,0,13.5,0,13.3,2,1
45,153.4,0,13.5,0,13.4,2,6
45,153.4,0,13.5,0,13.5,2,1
24.81,135.75,0,13.5,0,13.6,2,0
24.81,135.75,0,13.5,0,13.7,2,1
24.81,135.75,36.55,7.65,28.6,14.1,2,4
24.81,135.75,36.55,7.65,28.6,14.2,2,1
45,153.4,36.55,7.65,28.6,14.3,2,2
45,153.4,36.55,7.65,28.6,14.4,2,1
24.81,135.75,36.55,7.65,28.6,14.5,2,1
45,153.4,36.55,7.65,28.6,14.6,2,0
45,153.4,36.55,7.65,28.6,14.7,2,0
24.81,135.75,51,9.18,33.3,15.1,2,4
24.81,135.75,51,9.18,33.3,15.2,2,7
45,153.4,51,9.18,33.3,15.3,2,1
40.57,135.23,51,9.18,33.3,15.4,2,1
45,153.4,51,9.18,33.3,15.5,2,2
45,153.4,51,9.18,33.3,15.6,2,1
45,153.4,27.06,7.8,20.8,16.1,2,1
40.57,135.23,27.06,7.8,20.8,16.2,2,1
45,153.4,27.06,7.8,20.8,16.3,2,2
45,153.4,27.06,7.8,20.8,16.4,2,0
45,153.4,27.06,7.8,20.8,16.5,2,2
45,153.4,27.06,7.8,20.8,16.6,2,4
40.57,135.23,25.64,8.17,18.8,17.1,2,0
40.57,135.23,25.64,8.17,18.8,17.2,2,1
45,153.4,25.64,8.17,18.8,17.3,2,0
45,153.4,25.64,8.17,18.8,17.4,2,1
40.57,135.23,25.64,8.17,18.8,17.5,2,1
45,153.4,25.64,8.17,18.8,17.6,2,4
40.57,135.23,27.06,7.8,20.8,18.1,2,1
45,153.4,27.06,7.8,20.8,18.2,2,1
40.57,135.23,27.06,7.8,20.8,18.3,2,0
40.57,135.23,27.06,7.8,20.8,18.4,2,0
40.57,135.23,27.06,7.8,20.8,18.5,2,4
40.57,135.23,27.06,7.8,20.8,18.6,2,1
40.57,135.23,0,13.5,0,19.1,2,1
45,153.4,0,13.5,0,19.2,2,1
40.57,135.23,0,13.5,0,19.3,2,1
45,153.4,0,13.5,0,19.4,2,6
45,153.4,0,13.5,0,19.5,2,6
22.12,135.11,24.81,7.72,19.2,1.1,1,1
22.12,135.11,24.81,7.72,19.2,1.7,1,1
22.12,135.11,27.63,7.12,23.2,2.1,1,0
22.12,135.11,27.63,7.12,23.2,2.2,1,4
